No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,SNDK,17.58%,54.65%,304.54%,432.88%,387.58%,-,-,-,-,10.16%,8.95%,5.77M,1.57,175.53,-0.54%,"9,080,203"
2,IREN,13.09%,35.90%,286.74%,895.53%,535.64%,575.54%,1966.89%,-,-,10.94%,11.03%,35.20M,0.77,62.42,-3.95%,"27,101,282"
3,BE,8.53%,53.91%,201.12%,499.05%,410.04%,1132.64%,578.73%,590.73%,-,10.55%,10.26%,12.96M,0.86,113.28,4.38%,"11,175,633"
4,RGTI,-7.32%,25.03%,161.61%,318.40%,142.92%,2989.17%,1708.29%,-,-,13.00%,13.40%,76.59M,1.20,37.07,-7.88%,"92,173,413"
5,NBIS,16.83%,10.53%,137.53%,410.60%,339.82%,591.04%,194.06%,195.27%,424.00%,8.01%,7.81%,17.52M,0.76,121.83,-2.87%,"13,277,162"
6,SATS,1.40%,1.56%,127.91%,229.52%,226.64%,199.80%,308.97%,189.36%,167.25%,2.44%,3.53%,5.21M,0.46,74.80,0.55%,"2,402,123"
7,LUMN,40.17%,70.63%,125.34%,181.51%,89.27%,60.03%,50.90%,4.04%,-63.12%,8.38%,6.71%,16.02M,2.75,10.05,7.37%,"44,094,774"
8,CDE,-1.08%,-2.40%,108.91%,230.56%,219.58%,157.10%,373.58%,130.52%,493.51%,7.14%,6.68%,15.40M,0.89,18.28,3.39%,"13,723,314"
9,INTC,8.95%,20.45%,104.18%,104.18%,107.13%,85.90%,53.99%,-22.37%,24.19%,6.63%,5.37%,126.44M,1.43,41.53,5.03%,"180,404,977"
10,CIEN,7.85%,27.01%,96.92%,171.73%,115.82%,177.08%,324.88%,346.33%,685.58%,5.43%,4.64%,2.46M,1.06,183.04,0.27%,"2,595,559"
11,RNA,42.57%,64.04%,89.61%,117.44%,140.47%,54.88%,391.43%,153.74%,-,3.38%,4.75%,4.10M,6.83,69.93,-0.10%,"27,992,611"
12,NOK,39.25%,65.32%,89.05%,56.34%,75.40%,61.87%,82.82%,81.54%,11.64%,8.57%,3.66%,31.00M,12.04,7.77,22.17%,"373,359,164"
13,QBTS,-0.59%,26.43%,87.57%,357.14%,280.95%,2707.02%,566.67%,-,-,13.48%,13.67%,52.28M,1.22,32.00,-8.68%,"63,873,030"
14,LITE,21.75%,22.03%,80.60%,230.87%,136.32%,206.92%,175.92%,137.82%,1289.29%,7.47%,6.28%,3.35M,0.94,198.39,2.37%,"3,163,525"
15,UI,5.78%,15.81%,77.92%,135.01%,129.65%,202.66%,136.74%,284.83%,2427.42%,4.25%,4.76%,182.49K,1.53,762.27,2.39%,"278,508"
16,OKLO,-5.13%,13.54%,74.90%,441.24%,523.08%,632.45%,1256.72%,-,-,11.64%,11.13%,20.21M,0.71,132.28,-3.75%,"14,360,005"
17,WDC,2.89%,7.01%,74.88%,207.53%,177.24%,149.28%,374.24%,293.06%,120.84%,5.29%,5.84%,8.73M,0.80,124.92,-1.38%,"6,977,736"
18,IONS,2.69%,14.68%,69.63%,146.80%,110.44%,89.76%,63.67%,58.69%,66.79%,2.35%,2.59%,2.51M,1.02,73.57,0.79%,"2,558,434"
19,KRMN,8.04%,19.61%,69.36%,144.88%,183.99%,-,-,-,-,4.53%,4.19%,1.47M,0.79,85.34,1.75%,"1,163,851"
20,NXT,8.14%,27.41%,64.74%,125.21%,165.54%,210.00%,-,-,-,4.77%,4.99%,2.47M,0.99,97.00,-1.57%,"2,458,342"
