No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,SNDK,20.14%,84.67%,452.18%,534.55%,565.22%,-,-,-,-,10.41%,9.31%,6.73M,3.03,239.48,15.31%,"20,383,783"
2,BE,2.31%,56.04%,259.12%,667.37%,508.78%,1086.05%,680.21%,940.88%,-,10.15%,10.34%,13.42M,1.16,135.21,-1.21%,"15,579,117"
3,IREN,2.68%,-2.30%,247.13%,786.08%,535.23%,597.76%,2065.97%,-,-,13.11%,11.78%,37.72M,1.40,62.38,-6.84%,"52,645,792"
4,LUMN,2.33%,53.58%,181.28%,139.64%,98.12%,38.24%,49.22%,18.47%,-62.71%,15.12%,9.37%,18.83M,1.12,10.52,-3.84%,"21,122,133"
5,SATS,-1.86%,-3.95%,167.39%,203.76%,220.87%,198.58%,285.32%,210.44%,164.05%,3.95%,3.32%,5.14M,1.00,73.48,4.01%,"5,144,513"
6,WDC,8.48%,36.14%,118.32%,269.51%,261.66%,222.69%,523.64%,482.38%,222.74%,7.41%,6.07%,9.05M,1.06,162.96,-0.39%,"9,607,709"
7,CIEN,4.92%,21.79%,113.39%,166.60%,134.95%,202.55%,330.74%,408.97%,725.43%,5.23%,4.89%,2.55M,1.27,199.26,-1.09%,"3,247,181"
8,RGTI,-23.72%,-28.32%,111.33%,219.19%,121.30%,2915.18%,1755.49%,-,-,9.85%,12.59%,79.67M,0.72,33.77,-1.72%,"57,410,624"
9,WBD,0.98%,28.30%,110.30%,149.94%,114.47%,176.13%,78.79%,7.34%,-23.00%,2.90%,3.62%,53.11M,0.58,22.67,1.12%,"30,808,713"
10,LITE,19.13%,50.29%,108.74%,270.14%,186.02%,262.81%,227.93%,194.90%,1574.41%,8.27%,6.86%,3.82M,1.46,240.11,0.18%,"5,583,380"
11,NXT,3.37%,24.78%,94.48%,124.82%,186.42%,137.31%,-,-,-,6.60%,5.52%,2.39M,0.97,104.63,-1.79%,"2,327,084"
12,INTC,-4.65%,0.87%,84.65%,78.01%,90.17%,63.51%,39.06%,-14.24%,12.61%,3.90%,4.78%,128.04M,0.74,38.13,2.39%,"94,747,940"
13,ROIV,3.15%,27.92%,84.60%,93.80%,74.30%,76.84%,303.52%,-,-,3.43%,3.17%,7.86M,1.20,20.62,0.24%,"9,415,296"
14,STX,9.17%,26.00%,84.16%,191.87%,223.66%,174.82%,464.46%,475.15%,633.97%,8.03%,6.06%,4.24M,1.20,279.35,0.32%,"5,084,245"
15,IONS,-1.01%,4.67%,80.09%,127.99%,110.38%,89.56%,64.62%,57.26%,49.46%,3.60%,2.95%,2.47M,0.94,73.55,-0.74%,"2,325,468"
16,MDB,0.34%,8.92%,79.62%,102.22%,55.08%,31.41%,121.20%,61.05%,-,4.96%,3.97%,2.59M,0.63,361.04,1.46%,"1,620,297"
17,GH,3.98%,48.21%,76.50%,131.83%,216.60%,311.22%,95.04%,-9.32%,-,7.28%,5.56%,2.81M,0.97,96.72,0.49%,"2,733,674"
18,RVMD,3.69%,28.13%,75.82%,50.94%,39.48%,7.51%,198.19%,98.21%,-,4.11%,3.85%,2.21M,1.23,61.01,-0.60%,"2,722,822"
19,TER,0.29%,25.55%,74.13%,135.44%,44.76%,72.86%,129.46%,103.21%,833.81%,4.56%,4.30%,3.72M,0.97,182.28,-1.48%,"3,626,100"
20,QBTS,-20.40%,-15.88%,69.83%,166.01%,251.19%,2606.42%,1075.30%,-,-,10.39%,12.97%,53.04M,0.95,29.50,3.91%,"50,269,359"
