No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,MU,-1.75%,14.18%,100.43%,170.81%,159.07%,118.80%,303.46%,336.06%,1207.13%,3.29%,4.46%,23.13M,1.00,218.03,-7.10%,"23,155,923"
2,APP,-2.89%,3.69%,55.84%,99.82%,87.96%,259.34%,3400.17%,-,-,4.18%,5.85%,7.40M,0.50,608.68,-3.71%,"3,674,113"
3,AMD,-3.09%,22.75%,53.29%,153.55%,107.01%,73.56%,303.24%,227.29%,11530.23%,3.50%,5.25%,60.65M,0.85,250.05,-3.70%,"51,386,920"
4,ASML,-2.12%,-1.26%,49.09%,51.49%,48.63%,53.17%,110.59%,183.89%,1025.22%,1.31%,2.24%,1.51M,1.14,1030.14,-3.44%,"1,731,212"
5,GOOGL,3.76%,10.83%,41.54%,70.03%,46.61%,62.20%,188.23%,267.41%,657.46%,2.77%,2.49%,33.41M,0.86,277.54,-2.18%,"28,806,399"
6,GOOG,3.59%,10.56%,41.20%,68.32%,46.01%,61.02%,187.91%,266.68%,684.94%,2.72%,2.46%,21.62M,0.83,278.06,-2.13%,"17,992,176"
7,TSLA,-3.54%,-1.98%,38.87%,61.34%,10.01%,77.81%,94.41%,228.26%,3068.01%,3.50%,4.09%,86.22M,1.00,444.26,-5.15%,"86,601,169"
8,BABA,-7.03%,-12.24%,35.94%,29.73%,95.31%,69.02%,162.03%,-45.76%,110.25%,2.07%,3.18%,18.83M,0.51,164.30,-2.02%,"9,546,912"
9,UNH,-10.06%,-7.79%,34.60%,-16.14%,-34.60%,-41.39%,-39.98%,7.41%,177.15%,3.98%,2.66%,13.28M,0.71,330.83,-0.89%,"9,388,796"
10,CAT,4.41%,10.54%,28.02%,70.64%,50.95%,45.56%,149.65%,262.25%,677.92%,3.26%,2.81%,3.04M,1.13,547.58,-4.03%,"3,430,559"
11,TSM,-2.48%,-2.76%,27.09%,70.68%,48.89%,54.32%,374.20%,250.69%,1224.55%,2.48%,3.02%,12.46M,1.29,294.05,-3.55%,"16,084,941"
12,AAPL,0.39%,5.20%,26.63%,36.03%,7.83%,19.53%,73.39%,142.84%,842.96%,1.83%,1.95%,54.25M,0.88,270.04,0.37%,"47,775,544"
13,TMO,1.36%,3.91%,25.91%,38.87%,8.65%,3.46%,12.19%,18.57%,345.81%,2.54%,2.21%,2.08M,0.78,565.24,0.06%,"1,617,932"
14,AXP,-0.15%,8.58%,21.98%,30.91%,21.46%,33.48%,139.62%,293.55%,387.08%,1.55%,2.30%,2.53M,0.74,360.49,-0.31%,"1,877,342"
15,LLY,10.58%,7.31%,21.50%,17.00%,17.47%,9.29%,151.98%,590.63%,1020.83%,3.65%,2.54%,4.50M,1.31,906.86,1.15%,"5,903,235"
16,IBM,-3.75%,3.95%,19.25%,20.77%,36.86%,45.54%,117.20%,195.33%,128.47%,2.83%,3.27%,5.40M,0.96,300.85,-1.27%,"5,190,935"
17,BAC,1.27%,6.25%,17.88%,31.10%,21.82%,28.02%,47.98%,128.12%,226.46%,1.64%,2.17%,34.22M,1.38,53.54,-0.04%,"47,161,544"
18,AVGO,-5.64%,4.90%,16.66%,75.89%,51.80%,107.30%,644.22%,913.62%,2796.86%,3.69%,3.46%,22.91M,1.01,351.94,-2.93%,"23,144,464"
19,MS,-0.73%,3.74%,16.07%,38.60%,30.46%,41.08%,99.48%,244.78%,408.87%,1.76%,2.17%,5.27M,1.09,164.01,0.22%,"5,737,329"
20,RTX,-1.71%,4.03%,12.75%,37.02%,51.75%,45.14%,84.70%,235.52%,201.11%,1.51%,2.04%,4.47M,0.86,175.61,-0.81%,"3,835,796"
